LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,DWELLINGS_PER_BUILDING,NAME_2,ID_1,NAME_1
22.8202,56.2736,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",291.6833,291.6833,Res,ALL,URBAN,58.0,890.625,15066842.52484,4520052.757452,7533421.26242,3013368.504968,423.2363323214755,97.86832301335336,403.8662867182847,225.8336164725853,242.52274206807445,2,1,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",99.8971,399.5884,Res,ALL,RURAL,58.0,760.0,17613856.672000002,5284157.001599999,8806928.336000001,3522771.3344,579.8080618746658,134.073656611774,553.2722762108789,309.37833421554825,332.24142234606705,2,4,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",49.9227,199.6908,Res,ALL,URBAN,56.0,890.625,9959299.08288,2987789.724864,4979649.54144,1991859.8165759998,289.7539961675602,67.0021345657943,276.49296990195757,154.60911043005805,166.03473829926997,2,4,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",48.2649,108.32139771899999,Res,ALL,RURAL,58.0,760.0,4774807.21145352,1432442.1634360559,2387403.60572676,954961.4422907041,157.1757830582876,36.34501372283231,149.98239758295043,83.867033142614,90.06481481613226,2,4,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",24.12,54.13275720000001,Res,ALL,URBAN,56.0,890.625,2699795.47948992,809938.643846976,1349897.73974496,539959.095897984,78.54734781105724,18.163131613133253,74.95251061746248,41.9118829501325,45.00917506024275,2,4,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",346.8338,778.4025656780001,Res,ALL,RURAL,58.0,760.0,34311985.09508624,10293595.528525872,17155992.54754312,6862397.0190172475,1129.4724345452182,261.1769468193672,1077.7804343696046,602.6723726678966,647.2099179522894,2,2,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",173.3272,388.99996823199996,Res,ALL,URBAN,56.0,890.625,19400828.815615475,5820248.644684643,9700414.407807738,3880165.763123095,564.4441071109735,130.52092644012728,538.6114758828792,301.18032000307664,323.4375741086944,2,2,Akmenes,1,Siauliai
22.8202,56.2736,W/LPB+CDL/HBET:1-3,"Wood, low rise",419.7924,419.7924,Res,ALL,RURAL,70.0,760.0,22332955.68,6699886.704,11166477.84,4466591.136,609.1243335234817,140.8526926353029,581.2468447132793,325.0211303139608,349.0402225541809,2,1,Akmenes,1,Siauliai
22.8202,56.2736,W/LPB+CDL/HBET:1-3,"Wood, low rise",209.7876,209.7876,Res,ALL,URBAN,58.0,890.625,10836536.52048,3250960.9561440004,5418268.260240002,2167307.3040960003,304.4045867230822,70.38990782467208,290.47305420482024,162.42648241810258,174.42981481586497,2,1,Akmenes,1,Siauliai
22.8202,56.2736,W/LWAL+CDL/HBET:1-3,"Wood, low rise",216.6308,649.8924,Res,ALL,RURAL,58.0,760.0,28647256.992,8594177.0976,14323628.496,5729451.3984,943.0024817313894,218.05800787060298,899.8445586512296,503.17433672084763,540.3589677475601,2,3,Akmenes,1,Siauliai
22.8202,56.2736,W/LWAL+CDL/HBET:1-3,"Wood, low rise",108.2594,324.7782,Res,ALL,URBAN,53.0,890.625,15330115.64076,4599034.692228,7665057.820379999,3066023.1281520003,471.25747064014513,108.97263499588591,449.68966561009285,251.45709561519845,270.0397987403924,2,3,Akmenes,1,Siauliai
23.5545,56.251999999999995,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",1474.8757,4424.6271,Res,ALL,RURAL,56.0,840.0,208134458.784,62440337.6352,104067229.392,41626891.7568,8289.176316283405,1916.7725530247421,7909.8097284042215,4423.000867664871,4749.8610496979445,3,3,Joniskio,1,Siauliai
23.5545,56.251999999999995,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",807.5828,2422.7484,Res,ALL,URBAN,56.0,984.375,133557397.39776,40067219.219328,66778698.69888,26711479.479552,4538.820606507951,1049.5477994076857,4331.094673220205,2421.857940375061,2600.833471000984,3,3,Joniskio,1,Siauliai
23.5545,56.251999999999995,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",78.6101,786.1010000000001,Res,ALL,RURAL,56.0,840.0,36978191.04,11093457.312,18489095.52,7395638.2080000015,1472.695810095884,340.54323373495214,1405.2956773031308,785.8120755695377,843.8836622025401,3,10,Joniskio,1,Siauliai
23.5545,56.251999999999995,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",43.0438,430.43800000000005,Res,ALL,URBAN,56.0,984.375,23728497.3632,7118549.20896,11864248.6816,4745699.47264,806.3903227524862,186.46808545263943,769.4846600462345,430.2797963416923,462.0775139468554,3,10,Joniskio,1,Siauliai
23.5545,56.251999999999995,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",486.6341,486.6341,Res,ALL,RURAL,70.0,760.0,25888934.12,7766680.2360000005,12944467.06,5177786.824000001,911.6691113734512,210.8125419757741,869.9452069877783,486.45524196498155,522.4043303095112,3,1,Joniskio,1,Siauliai
23.5545,56.251999999999995,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",266.4613,266.4613,Res,ALL,URBAN,58.0,890.625,13764005.15924,4129201.547772,6882002.57962,2752801.0318480004,499.1934116133962,115.4324861146585,476.3470763407918,266.36336451926303,286.04764232490453,3,1,Joniskio,1,Siauliai
23.5545,56.251999999999995,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",83.2893,333.1572,Res,ALL,RURAL,58.0,760.0,14685569.375999998,4405670.8128,7342784.687999999,2937113.8752,624.1427151769002,144.32551317207606,595.5778876027566,333.03475103445425,357.6460506030956,3,4,Joniskio,1,Siauliai
23.5545,56.251999999999995,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",45.6059,182.4236,Res,ALL,URBAN,56.0,890.625,9098121.656960001,2729436.497088,4549060.828480001,1819624.3313919997,341.75566674334146,79.0268968663968,326.1147060213323,182.3565518284127,195.83271823871394,3,4,Joniskio,1,Siauliai
23.5545,56.251999999999995,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",40.2409,90.313054279,Res,ALL,RURAL,58.0,760.0,3980999.4326183205,1194299.829785496,1990499.71630916,796199.8865236641,169.19410690693113,39.124106892944944,161.45068481317506,90.27986051920212,96.95155074177404,3,4,Joniskio,1,Siauliai
23.5545,56.251999999999995,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",22.0343,49.451799833,Res,ALL,URBAN,56.0,890.625,2466339.284151109,739901.7852453326,1233169.6420755545,493267.8568302218,92.6438948885187,21.422788966231288,88.40390807310331,49.43362426382747,53.08677376772069,3,4,Joniskio,1,Siauliai
23.5545,56.251999999999995,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",289.173,648.99385563,Res,ALL,RURAL,58.0,760.0,28607649.1561704,8582294.746851118,14303824.5780852,5721529.83123408,1215.8368097283605,281.1476722079667,1160.1922143759275,648.7553237109316,696.6984034316088,3,2,Joniskio,1,Siauliai
