LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_0,NAME_0,ID_1,NAME_1
-4.617407965,54.2205027,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.1587153419593348,Ind,300,1758.75,611384.5630314235,91707.6844547135,152846.14075785587,366830.737818854,43.36414048059151,17.967844879852127,1.5138855083179303,2.9108612939001857,7.464197227356747,German,8,110,Isle of Man,3,Glenfaba
-4.617407965,54.2205027,S+SL/LFM+CDN/H:1,"Steel, low rise",2.106755167198791,Ind,300,1675.0,1058644.4715173924,158796.67072760887,264661.1178793481,635186.6829104355,78.84389178289366,32.66880887245842,2.7525191060326013,5.2924750798185185,13.571267686103177,German,8,110,Isle of Man,3,Glenfaba
-4.617407965,54.2205027,S/LFBR+CDN/H:1,"Steel, low rise",0.7373643085195768,Ind,300,1675.0,370525.56503108726,55578.8347546631,92631.39125777183,222315.3390186524,27.59536212401278,11.434083105360449,0.9633816871114104,1.8523662779364816,4.749943690136113,German,8,110,Isle of Man,3,Glenfaba
-4.617407965,54.2205027,S/LFM+CDN/H:1,"Steel, low rise",4.213510334397582,Ind,300,1675.0,2117288.943034785,317593.3414552177,529322.2357586962,1270373.365820871,157.68778356578733,65.33761774491684,5.5050382120652035,10.584950159637039,27.14253537220636,German,8,110,Isle of Man,3,Glenfaba
-4.686036986,54.17711119,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",3.7808185899128617,Ind,300,1758.75,1994911.120781622,299236.6681172433,498727.7801954055,1196946.6724689729,141.4945867441247,58.627999028254564,4.939717517824136,9.497965629786114,24.35522739195494,Patrick,9,110,Isle of Man,3,Glenfaba
-4.686036986,54.17711119,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.8904092949564304,Ind,300,1758.75,997455.560390811,149618.33405862164,249363.89009770274,598473.3362344864,70.74729337206234,29.31399951412729,2.4698587589120686,4.748982814893057,12.17761369597747,Patrick,9,110,Isle of Man,3,Glenfaba
-4.686036986,54.17711119,S+SL/LFM+CDN/H:1,"Steel, low rise",3.437107809011691,Ind,300,1675.0,1727146.6740283747,259072.0011042562,431786.6685070937,1036288.0044170248,128.63144249465878,53.298180934776866,4.4906522889310345,8.634514208896466,22.14111581086813,Patrick,9,110,Isle of Man,3,Glenfaba
-4.686036986,54.17711119,S/LFBR+CDN/H:1,"Steel, low rise",1.202987733154092,Ind,300,1675.0,604501.3359099312,90675.20038648967,151125.3339774828,362700.8015459587,45.02100487313057,18.654363327171907,1.5717283011258616,3.0220799731137635,7.749390533803843,Patrick,9,110,Isle of Man,3,Glenfaba
-4.686036986,54.17711119,S/LFM+CDN/H:1,"Steel, low rise",6.874215618023382,Ind,300,1675.0,3454293.3480567494,518144.0022085124,863573.3370141874,2072576.0088340496,257.26288498931757,106.59636186955376,8.981304577862069,17.26902841779293,44.28223162173625,Patrick,9,110,Isle of Man,3,Glenfaba
-4.688715408,54.22237441,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",12.8922075521521,Ind,300,1758.75,6802444.392817534,1020366.65892263,1700611.0982043834,4081466.63569052,482.48217586480064,199.91552460522843,16.843935241616055,32.38709853710061,83.04885279464834,Peel,10,110,Isle of Man,3,Glenfaba
-4.688715408,54.22237441,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",6.44610377607605,Ind,300,1758.75,3401222.196408767,510183.329461315,850305.5491021917,2040733.31784526,241.24108793240032,99.95776230261421,8.421967620808028,16.193549268550306,41.52442639732417,Peel,10,110,Isle of Man,3,Glenfaba
-4.688715408,54.22237441,S+SL/LFM+CDN/H:1,"Steel, low rise",11.720188683774635,Ind,300,1675.0,5889394.813596753,883409.2220395132,1472348.7033991888,3533636.8881580527,438.6201598770915,181.7413860047531,15.312668401469145,29.442816851909647,75.49895708604394,Peel,10,110,Isle of Man,3,Glenfaba
-4.688715408,54.22237441,S/LFBR+CDN/H:1,"Steel, low rise",4.102066039321123,Ind,300,1675.0,2061288.1847588643,309193.22771382966,515322.0461897161,1236772.9108553187,153.51705595698203,63.60948510166359,5.3594339405142,10.304985898168377,26.42463498011539,Peel,10,110,Isle of Man,3,Glenfaba
-4.688715408,54.22237441,S/LFM+CDN/H:1,"Steel, low rise",23.44037736754927,Ind,300,1675.0,11778789.627193507,1766818.4440790263,2944697.4067983767,7067273.776316105,877.240319754183,363.4827720095062,30.62533680293829,58.885633703819295,150.9979141720879,Peel,10,110,Isle of Man,3,Glenfaba
-4.534428403,54.31049168,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",2.475764457354106,Ind,300,1758.75,1306312.3582783204,195946.85374174805,326578.0895695801,783787.4149669922,92.65381568523895,38.39092322154739,3.2346373593873774,6.219480031687349,15.94834687087404,Ballaugh,11,110,Isle of Man,4,Michael
-4.534428403,54.31049168,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.237882228677053,Ind,300,1758.75,653156.1791391602,97973.42687087404,163289.04478479005,391893.7074834961,46.32690784261948,19.19546161077369,1.6173186796936887,3.1097400158436743,7.974173435437019,Ballaugh,11,110,Isle of Man,4,Michael
-4.534428403,54.31049168,S+SL/LFM+CDN/H:1,"Steel, low rise",2.2506949612310057,Ind,300,1675.0,1130974.2180185802,169646.13270278706,282743.55450464506,678584.5308111481,84.23074153203542,34.90083929231581,2.9405794176248885,5.65407275607941,14.498497155340035,Ballaugh,11,110,Isle of Man,4,Michael
-4.534428403,54.31049168,S/LFBR+CDN/H:1,"Steel, low rise",0.7877432364308521,Ind,300,1675.0,395840.97630650323,59376.14644597548,98960.24407662581,237504.58578390192,29.48075953621241,12.215293752310538,1.0292027961687114,1.9789254646277936,5.074474004369015,Ballaugh,11,110,Isle of Man,4,Michael
