LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
18.9353,49.0674,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",16.178474114441418,118.75,RES,ALL,URBAN,69.0,984.375,8065927.499999999,2419778.2499999995,4032963.7499999995,1613185.5,676.7960322316974,149.48766201719226,641.3545928098363,340.92043492797626,377.25422991833494,Martin,Zilinsky
18.9353,49.0674,CR/LFINF+CDN/HBET:6-,"Concrete frame with infill panels, mid rise, pre code",13.905555555555557,250.3,RES,ALL,URBAN,62.5,984.375,15399707.5,4619912.25,7699853.75,3079941.5,1426.5435525692117,315.08852044550093,1351.8404596235962,718.5885041050313,795.1724947247095,Martin,Zilinsky
18.9353,49.0674,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",1374.0,1374.0,RES,ALL,URBAN,105.0,984.375,142019388.0,42605816.4,71009694.0,28403877.6,7830.886301358755,1729.6509272557657,7420.8101938586515,3944.628863924542,4365.029995012986,Martin,Zilinsky
18.9353,49.0674,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",928.8,928.8,RES,ALL,URBAN,100.0,984.375,91431072.0,27429321.599999998,45715536.0,18286214.400000002,5293.54235567832,1169.2138145816268,5016.3380699096915,2666.500210198773,2950.6840315633635,Martin,Zilinsky
18.9353,49.0674,MCF/LWAL+CDL/HBET:3-5,"Confined or reinforced masonry, mid rise",149.75476839237058,1099.2,RES,ALL,URBAN,69.0,984.375,74661621.11999999,22398486.335999995,37330810.559999995,14932324.224,6264.709041087006,1383.720741804613,5936.648155086923,3155.7030911396346,3492.02399601039,Martin,Zilinsky
18.9353,49.0674,MUR+ADO/LWAL+CDN/H:1,"Adobe, low rise",253.4,253.4,RES,ALL,URBAN,105.0,890.625,23696194.2,7108858.26,11848097.1,4739238.84,1444.211491094839,318.9909352013181,1368.5831900464211,727.48832177473,805.0208156741564,Martin,Zilinsky
18.9353,49.0674,MUR+ADO/LWAL+CDN/H:2,"Adobe, low rise",108.6,108.6,RES,ALL,URBAN,100.0,890.625,9671916.0,2901574.8,4835958.0,1934383.2000000002,618.9477818977881,136.71040080056488,586.5356528770376,311.78070933202713,345.0089210032099,Martin,Zilinsky
18.9353,49.0674,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",2505.0,2505.0,RES,ALL,URBAN,105.0,890.625,234250065.0,70275019.5,117125032.5,46850013.0,14276.834195708649,3153.4028913942457,13529.206357799072,7191.626858901731,7958.078702698349,Martin,Zilinsky
18.9353,49.0674,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1587.0,1587.0,RES,ALL,URBAN,100.0,890.625,141338220.0,42401466.0,70669110.0,28267644.0,9044.84465811961,1997.784586284498,8571.197800330188,4556.132465100617,5041.704950571769,Martin,Zilinsky
18.9353,49.0674,MUR+CL/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",65.01362397820164,477.2,RES,ALL,URBAN,69.0,890.625,29324608.08,8797382.423999999,14662304.04,5864921.616,2719.722665944977,600.7201037019298,2577.3003089587696,1369.9977393484653,1516.0060506697216,Martin,Zilinsky
18.9353,49.0674,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1288.8000000000004,1288.8000000000004,RES,ALL,URBAN,105.0,890.625,120519554.40000004,36155866.32000001,60259777.20000002,24103910.88000001,7345.302958654416,1622.3974636442736,6960.65515127004,3700.0274234541134,4094.3600127894756,Martin,Zilinsky
18.9353,49.0674,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",922.4,922.4,RES,ALL,URBAN,100.0,890.625,82148944.0,24644683.2,41074472.0,16429788.8,5257.0666116254115,1161.1572163760686,4981.772432907729,2648.126393074234,2930.352014119344,Martin,Zilinsky
18.9353,49.0674,W/LFM+CDL/H:1,"Wood, low rise",4.65,4.65,RES,ALL,URBAN,105.0,890.625,434835.45,130450.635,217417.725,86967.09000000001,26.501907788441205,5.853622133725845,25.114095634237803,13.349726504548123,14.772481424170591,Martin,Zilinsky
