ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,DWELLINGS,DWELLINGS_PER_BUILDING
16,MUR+CL/LWAL+CDN/HBET:1-4,397.9682,RURAL,795.9364,2
16,MUR+CL/LWAL+CDN/HBET:1-4,200.0569,URBAN,400.1138,2
16,W/LPB+CDL/HBET:1-3,481.6832,RURAL,481.6832,1
16,W/LPB+CDL/HBET:1-3,242.14,URBAN,242.14,1
16,W/LWAL+CDL/HBET:1-3,248.5691,RURAL,745.7073,3
16,W/LWAL+CDL/HBET:1-3,124.9546,URBAN,374.8638,3
17,CR/LFINF+CDN/H:3,2215.2345,RURAL,6645.7035,3
17,CR/LFINF+CDN/H:3,895.0236,URBAN,2685.0708,3
17,CR/LWAL+CDN/HBET:4-10,118.0709,RURAL,1180.709,10
17,CR/LWAL+CDN/HBET:4-10,47.7043,URBAN,477.043,10
17,MUR+CB/LWAL+CDN/HBET:1-2,730.9149,RURAL,730.9149,1
17,MUR+CB/LWAL+CDN/HBET:1-2,295.3123,URBAN,295.3123,1
17,MUR+CB/LWAL+CDN/HBET:1-4,125.0989,RURAL,500.3956,4
17,MUR+CB/LWAL+CDN/HBET:1-4,50.5438,URBAN,202.1752,4
17,MUR+CL/LWAL+CDN/HBET:1-4,60.441,RURAL,241.764,4
17,MUR+CL/LWAL+CDN/HBET:1-4,24.4201,URBAN,97.6804,4
17,MUR+CL/LWAL+CDN/HBET:1-4,434.3321,RURAL,868.6642,2
17,MUR+CL/LWAL+CDN/HBET:1-4,175.4837,URBAN,350.9674,2
17,W/LPB+CDL/HBET:1-3,525.6965,RURAL,525.6965,1
17,W/LPB+CDL/HBET:1-3,212.3977,URBAN,212.3977,1
17,W/LWAL+CDL/HBET:1-3,271.2819,RURAL,813.8457,3
17,W/LWAL+CDL/HBET:1-3,109.6063,URBAN,328.8189,3
18,CR/LFINF+CDN/H:3,2765.8384,RURAL,8297.5152,3
18,CR/LFINF+CDN/H:3,1606.5644,URBAN,4819.6932,3
18,CR/LWAL+CDN/HBET:4-10,147.4178,RURAL,1474.178,10
18,CR/LWAL+CDN/HBET:4-10,85.6291,URBAN,856.291,10
18,MUR+CB/LWAL+CDN/HBET:1-2,912.5863,RURAL,912.5863,1
18,MUR+CB/LWAL+CDN/HBET:1-2,530.0847,URBAN,530.0847,1
18,MUR+CB/LWAL+CDN/HBET:1-4,156.1926,RURAL,624.7704,4
18,MUR+CB/LWAL+CDN/HBET:1-4,90.726,URBAN,362.904,4
18,MUR+CL/LWAL+CDN/HBET:1-4,75.4639,RURAL,301.8556,4
18,MUR+CL/LWAL+CDN/HBET:1-4,43.8339,URBAN,175.3356,4
18,MUR+CL/LWAL+CDN/HBET:1-4,542.2868,RURAL,1084.5736,2
18,MUR+CL/LWAL+CDN/HBET:1-4,314.9926,URBAN,629.9852,2
18,W/LPB+CDL/HBET:1-3,656.3601,RURAL,656.3601,1
18,W/LPB+CDL/HBET:1-3,381.2532,URBAN,381.2532,1
